Metric,Value
Sample Size,5000.0
Pearson r,0.9987647529277821
Spearman rho,0.9982451740738069
MAE,0.0472392143557225
RMSE,0.05924108662973315
Bias,-0.00033306481667525097
MAPE (%),16.83740313029891
Regression Slope,0.996339873490384
Regression Intercept,0.00512438977806573
R^2,0.9975310316908939
Bland-Altman Bias,-0.00033306481667525097
Upper LoA,0.11578924267096359
Lower LoA,-0.11645537230431409
% Outside LoA,5.140000000000001
"ICC(2,1)",0.9987620103657554
Best Cluster k,4.0
Best Silhouette Score,0.7348619750996006
